english,korean,partOfSpeech,phonetic,meanings,example1_en,example1_ko,example2_en,example2_ko,status
small,작은,형용사,/smɔːl/,작은|조그만|적은,This is a small box.,이것은 작은 상자예요.,I have a small ball.,나는 작은 공이 있어요.,current
one,하나,명사,/wʌn/,하나|일|한개,I have one apple.,나는 사과 하나가 있어요.,One dog is here.,개 한 마리가 있어요.,current
two,둘,명사,/tuː/,둘|이|두개,I see two cats.,나는 고양이 두 마리를 봐요.,Two pencils are on the desk.,연필 두 자루가 책상에 있어요.,current
three,셋,명사,/θriː/,셋|삼|세개,We have three books.,우리는 책 세 권이 있어요.,Three kids are playing.,아이 셋이 놀아요.,current
four,넷,명사,/fɔːr/,넷|사|네개,I have four crayons.,나는 크레용 네 개가 있어요.,Four birds fly.,새 네 마리가 날아요.,current
five,다섯,명사,/faɪv/,다섯|오|다섯개,Five fish swim.,물고기 다섯 마리가 헤엄쳐요.,I have five stickers.,나는 스티커 다섯 개가 있어요.,current
six,여섯,명사,/sɪks/,여섯|육|여섯개,Six cookies are here.,쿠키 여섯 개가 있어요.,I see six stars.,나는 별 여섯 개를 봐요.,current
seven,일곱,명사,/ˈsevən/,일곱|칠|일곱개,Seven days make a week.,일곱 날이 한 주예요.,I have seven pencils.,나는 연필 일곱 자루가 있어요.,current
eight,여덟,명사,/eɪt/,여덟|팔|여덟개,Eight balloons float.,풍선 여덟 개가 떠요.,We drew eight circles.,우리는 동그라미 여덟 개를 그렸어요.,current
nine,아홉,명사,/naɪn/,아홉|구|아홉개,Nine kids laugh.,아이 아홉이 웃어요.,I have nine blocks.,나는 블록 아홉 개가 있어요.,current
ten,열,명사,/ten/,열|십|열개,Count to ten.,열까지 세어 봐요.,Ten cars pass.,차 열 대가 지나가요.,current
eleven,열하나,명사,/ɪˈlevən/,열하나|십일|열한개,I am eleven.,나는 열한 살이에요.,Eleven birds sing.,새 열한 마리가 노래해요.,current
twelve,열둘,명사,/twelv/,열둘|십이|열두개,Twelve months make a year.,열두 달이 1년이에요.,I have twelve crayons.,나는 크레용 열두 개가 있어요.,current
thirteen,열셋,명사,/ˌθɝːˈtiːn/,열셋|십삼|열세개,Thirteen is a number.,열셋은 숫자예요.,I counted thirteen stones.,나는 돌 열세 개를 셌어요.,current
fourteen,열넷,명사,/ˌfɔːrˈtiːn/,열넷|십사|열네개,Fourteen is big.,열넷은 큰 수예요.,I have fourteen cards.,나는 카드 열네 장이 있어요.,current
fifteen,열다섯,명사,/ˌfɪfˈtiːn/,열다섯|십오|열다섯개,Fifteen minutes is short.,15분은 짧아요.,I drew fifteen hearts.,나는 하트 열다섯 개를 그렸어요.,current
sixteen,열여섯,명사,/ˌsɪksˈtiːn/,열여섯|십육|열여섯개,Sixteen is a number.,열여섯은 숫자예요.,I have sixteen marbles.,나는 구슬 열여섯 개가 있어요.,current
seventeen,열일곱,명사,/ˌsevənˈtiːn/,열일곱|십칠|열일곱개,Seventeen is odd.,열일곱은 홀수예요.,I counted seventeen steps.,나는 계단 열일곱 칸을 셌어요.,current
eighteen,열여덟,명사,/ˌeɪˈtiːn/,열여덟|십팔|열여덟개,Eighteen is a number.,열여덟은 숫자예요.,I have eighteen beads.,나는 구슬 열여덟 개가 있어요.,current
nineteen,열아홉,명사,/ˌnaɪnˈtiːn/,열아홉|십구|열아홉개,Nineteen is near twenty.,열아홉은 스물에 가까워요.,I wrote nineteen words.,나는 단어 열아홉 개를 썼어요.,current
twenty,스물,명사,/ˈtwenti/,스물|이십|스무개,Twenty is a big number.,스물은 큰 수예요.,I have twenty stickers.,나는 스티커 스무 개가 있어요.,current
dog,개,명사,/dɔːɡ/,개|강아지|반려견,I have a dog.,나는 개가 있어요.,The dog runs.,개가 달려요.,current
puppy,강아지,명사,/ˈpʌpi/,강아지|새끼개|어린개,The puppy is cute.,강아지는 귀여워요.,I hug the puppy.,나는 강아지를 안아요.,current
cat,고양이,명사,/kæt/,고양이|야옹이|반려묘,The cat sleeps.,고양이가 자요.,I see a cat.,나는 고양이를 봐요.,current
kitten,새끼고양이,명사,/ˈkɪtən/,새끼고양이|어린고양이|아기고양이,The kitten is small.,새끼고양이는 작아요.,I feed the kitten.,나는 새끼고양이에게 먹이를 줘요.,current
frog,개구리,명사,/frɔːɡ/,개구리|양서류|개굴이,A frog can jump.,개구리는 뛸 수 있어요.,I saw a frog.,나는 개구리를 봤어요.,current
hen,암탉,명사,/hen/,암탉|닭|어미닭,The hen lays eggs.,암탉은 알을 낳아요.,A hen is a bird.,암탉은 새예요.,current
chick,병아리,명사,/tʃɪk/,병아리|새끼닭|어린새,The chick is yellow.,병아리는 노란색이에요.,I hold the chick.,나는 병아리를 들어요.,current
rabbit,토끼,명사,/ˈræbɪt/,토끼|산토끼|토끼인형,The rabbit is fast.,토끼는 빨라요.,I saw a rabbit.,나는 토끼를 봤어요.,current
turtle,거북이,명사,/ˈtɝːtəl/,거북이|바다거북|거북,The turtle is slow.,거북이는 느려요.,A turtle has a shell.,거북이는 등딱지가 있어요.,current
fish,물고기,명사,/fɪʃ/,물고기|생선|어류,The fish swims.,물고기가 헤엄쳐요.,I see a fish.,나는 물고기를 봐요.,current
color,색,명사,/ˈkʌlər/,색|색깔|색상,My favorite color is blue.,내가 좋아하는 색은 파란색이에요.,What color is it?,이건 무슨 색이야?,current
gray,회색의,형용사,/ɡreɪ/,회색의|잿빛의|회빛의,The car is gray.,그 차는 회색이에요.,I have a gray pencil.,나는 회색 연필이 있어요.,current
how to,방법,명사,/haʊ tuː/,방법|하는법|절차,Show me how to draw.,그리는 방법을 알려줘.,I learn how to swim.,나는 수영하는 법을 배워요.,current
feed,먹이다,동사,/fiːd/,먹이다|사료주다|밥주다,I feed my dog.,나는 개를 먹여요.,She feeds the cat.,그녀는 고양이를 먹여요.,current
take care of,돌보다,동사,/teɪk ker əv/,돌보다|보살피다|챙기다,I take care of my sister.,나는 여동생을 돌봐요.,He takes care of the dog.,그는 개를 돌봐요.,current
know,알다,동사,/noʊ/,알다|지니다|깨닫다,I know the answer.,나는 답을 알아요.,Do you know him?,너는 그를 아니?,current
special,특별한,형용사,/ˈspeʃəl/,특별한|특수한|소중한,Today is special.,오늘은 특별해요.,This gift is special.,이 선물은 특별해요.,current
care,돌봄,명사,/ker/,돌봄|주의|보살핌,Thank you for your care.,돌봐줘서 고마워요.,Care helps people.,돌봄은 사람을 도와요.,current
three times a day,세번,부사,/θriː taɪmz ə deɪ/,하루세번|세번|세차례,I brush teeth three times a day.,나는 하루 세 번 이를 닦아요.,He drinks water three times a day.,그는 하루 세 번 물을 마셔요.,current
keep,지키다,동사,/kiːp/,지키다|유지하다|보관하다,Keep your promise.,약속을 지켜요.,I keep my room clean.,나는 방을 깨끗하게 유지해요.,current
book,책,명사,/bʊk/,책|서적|도서,I read a book.,나는 책을 읽어요.,This book is new.,이 책은 새거예요.,current
notebook,공책,명사,/ˈnoʊtˌbʊk/,공책|노트|수첩,I write in my notebook.,나는 공책에 써요.,My notebook is blue.,내 공책은 파란색이에요.,current
pencil,연필,명사,/ˈpensəl/,연필|필기구|연필심,I have a pencil.,나는 연필이 있어요.,Use a pencil please.,연필을 사용해요.,current
eraser,지우개,명사,/ɪˈreɪsər/,지우개|삭제도구|고무,I need an eraser.,나는 지우개가 필요해요.,The eraser is small.,그 지우개는 작아요.,current
ruler,자,명사,/ˈruːlər/,자|눈금자|규칙자,Use a ruler.,자를 사용해요.,My ruler is long.,내 자는 길어요.,current
red,빨간,형용사,/red/,빨간|붉은|빨강의,The apple is red.,사과는 빨개요.,I like red shoes.,나는 빨간 신발을 좋아해요.,current
blue,파란,형용사,/bluː/,파란|푸른|파랑의,The sky is blue.,하늘은 파래요.,My bag is blue.,내 가방은 파란색이에요.,current
brown,갈색의,형용사,/braʊn/,갈색의|갈색인|갈빛의,The bear is brown.,곰은 갈색이에요.,I have a brown hat.,나는 갈색 모자가 있어요.,current
green,초록의,형용사,/ɡriːn/,초록의|녹색의|풋풋한,The leaf is green.,잎은 초록색이에요.,I like green apples.,나는 초록 사과를 좋아해요.,current
yellow,노란,형용사,/ˈjeloʊ/,노란|노랑의|누런,The banana is yellow.,바나나는 노래요.,I have a yellow ball.,나는 노란 공이 있어요.,current
orange,주황의,형용사,/ˈɔːrɪndʒ/,주황의|오렌지색의|주황빛의,The orange is orange.,오렌지는 주황색이에요.,I wear an orange shirt.,나는 주황 셔츠를 입어요.,current
white,흰,형용사,/waɪt/,흰|하얀|백색의,The snow is white.,눈은 하얘요.,I have a white cup.,나는 흰 컵이 있어요.,current
black,검은,형용사,/blæk/,검은|까만|흑색의,The cat is black.,고양이는 검은색이에요.,I like black shoes.,나는 검은 신발을 좋아해요.,current
paint,색칠하다,동사,/peɪnt/,색칠하다|칠하다|그리다,Let’s paint a house.,집을 색칠하자.,I paint a flower.,나는 꽃을 색칠해요.,current
look at,보다,동사,/lʊk æt/,보다|바라보다|쳐다보다,Look at the sky.,하늘을 봐.,Look at my picture.,내 그림을 봐.,current
Don't worry,걱정마,감탄사,/doʊnt ˈwɝːi/,걱정마|괜찮아|안심해,Don’t worry.,걱정하지 마.,Don’t worry. I can help.,걱정 마 내가 도와줄게.,current
Let's,하자,감탄사,/lets/,하자|같이하자|가자,Let’s play.,우리 놀자.,Let’s go home.,우리 집에 가자.,current
what,무엇,명사,/wʌt/,무엇|무슨|어떤,What is this?,이게 뭐야?,What color is it?,이건 무슨 색이야?,current
can,할수있다,동사,/kæn/,할수있다|가능하다|될수있다,I can run fast.,나는 빨리 달릴 수 있어요.,She can swim.,그녀는 수영할 수 있어요.,current
amazing,놀라운,형용사,/əˈmeɪzɪŋ/,놀라운|대단한|신기한,That is amazing.,그건 놀라워요.,You did an amazing job.,너는 정말 잘했어.,current
sunny,맑은,형용사,/ˈsʌni/,맑은|화창한|햇빛나는,It is sunny today.,오늘은 맑아요.,A sunny day is nice.,맑은 날은 좋아요.,current
windy,바람부는,형용사,/ˈwɪndi/,바람부는|바람이센|바람많은,It is windy.,바람이 불어요.,The windy day is cold.,바람 부는 날은 추워요.,current
cloudy,흐린,형용사,/ˈklaʊdi/,흐린|구름낀|탁한,It is cloudy.,흐려요.,The sky is cloudy.,하늘이 흐려요.,current
rainy,비오는,형용사,/ˈreɪni/,비오는|비가내리는|젖는,It is rainy.,비가 와요.,I need an umbrella on a rainy day.,비 오는 날에는 우산이 필요해요.,current
snowy,눈오는,형용사,/ˈsnoʊi/,눈오는|눈이내리는|하얀,It is snowy.,눈이 와요.,The road is snowy.,길이 눈으로 덮였어요.,current
warm,따뜻한,형용사,/wɔːrm/,따뜻한|포근한|따스한,The water is warm.,물은 따뜻해요.,I like warm soup.,나는 따뜻한 수프를 좋아해요.,current
spring,봄,명사,/sprɪŋ/,봄|봄철|샘,Spring is here.,봄이 왔어요.,I like spring flowers.,나는 봄꽃을 좋아해요.,current
summer,여름,명사,/ˈsʌmər/,여름|여름철|하절기,Summer is hot.,여름은 더워요.,I swim in summer.,나는 여름에 수영해요.,current
fall,가을,명사,/fɔːl/,가을|낙하|떨어짐,Fall is cool.,가을은 시원해요.,Leaves fall in fall.,가을에 잎이 떨어져요.,current
not,아니,부사,/nɑːt/,아니|않다|부정,I am not sad.,나는 슬프지 않아요.,This is not mine.,이건 내 것이 아니야.,current
swim,수영하다,동사,/swɪm/,수영하다|헤엄치다|물에서가다,I can swim.,나는 수영할 수 있어요.,Let’s swim.,수영하자.,current
today,오늘,부사,/təˈdeɪ/,오늘|오늘날|지금,Today is Monday.,오늘은 월요일이에요.,I am happy today.,나는 오늘 행복해요.,current
good day,좋은날,명사,/ɡʊd deɪ/,좋은날|행복한날|기분좋은날,Have a good day.,좋은 하루 보내.,It is a good day.,오늘은 좋은 날이야.,current
weather,날씨,명사,/ˈweðər/,날씨|기상|기후,The weather is nice.,날씨가 좋아요.,What is the weather today?,오늘 날씨가 어때?,current
but,하지만,부사,/bʌt/,하지만|그러나|그런데,I want to go but I am tired.,가고 싶지만 피곤해요.,It is sunny but cold.,맑지만 추워요.,current
there,거기에,부사,/ðer/,거기에|저기에|그곳에,Put it there.,거기에 두세요.,He is there.,그는 거기에 있어요.,current
great,엄청난,형용사,/ɡreɪt/,엄청난|훌륭한|아주좋은,You did great.,너는 아주 잘했어.,This is a great day.,오늘은 정말 좋은 날이야.,current
It's,이다,동사,/ɪts/,이다|날씨가|상태가,It’s sunny.,날씨가 맑아요.,It’s cold.,날씨가 추워요.,current
